# XviD 2pass stat file (core version 1.3.2)
# Please do not modify this file

p 2 0 394 2 15060 691
b 4 0 396 0 1791 417
b 4 0 396 0 1631 421
p 2 1 381 14 11715 600
b 4 0 396 0 1755 447
b 4 0 396 0 1668 447
p 2 2 377 17 10287 631
b 4 0 396 0 1780 460
b 4 0 396 0 1751 464
p 2 0 369 27 10804 637
b 4 0 396 0 1892 557
b 4 0 396 0 1816 463
p 2 0 396 0 14970 710
b 4 0 396 0 1389 388
b 4 0 396 0 1260 389
p 2 0 379 17 10650 579
b 4 0 396 0 1285 375
b 4 0 396 0 1358 405
p 2 0 370 26 9444 583
b 4 0 396 0 1191 363
b 4 0 396 0 1277 423
p 2 0 374 22 10119 588
b 4 0 396 0 1413 493
b 4 0 396 0 1330 443
p 2 0 396 0 13454 680
b 4 0 396 0 1200 376
b 4 0 396 0 1212 382
p 2 0 387 9 10731 617
b 4 0 396 0 1469 408
b 4 0 396 0 1370 428
p 2 3 376 17 10277 624
b 4 0 396 0 1679 494
b 4 0 396 0 1580 444
p 2 1 380 15 10842 630
b 4 0 396 0 1989 543
b 4 0 396 0 2027 514
p 2 3 393 0 14617 722
b 4 0 396 0 1372 434
b 4 0 396 0 1294 439
p 2 1 385 10 10907 643
b 4 0 396 0 1110 389
b 4 0 396 0 1146 417
p 2 3 382 11 8698 617
p 2 0 268 128 1771 380
i 2 396 0 0 28926 1963
b 4 0 396 0 2862 430
b 4 0 396 0 1654 366
p 2 0 325 71 7099 472
b 4 0 396 0 1886 486
b 4 0 396 0 1674 493
p 2 0 396 0 19759 666
b 4 0 396 0 1262 370
b 4 0 396 0 1375 373
p 2 0 389 7 8831 577
b 4 0 396 0 1188 345
b 4 0 396 0 1276 368
p 2 0 382 14 8109 562
b 4 0 396 0 1171 358
b 4 0 396 0 1263 378
p 2 0 387 9 9225 562
b 4 0 396 0 1868 457
b 4 0 396 0 1488 417
p 2 0 396 0 11831 605
b 4 0 396 0 1103 330
b 4 0 396 0 1172 328
p 2 0 388 8 7834 571
b 4 0 396 0 1036 328
b 4 0 396 0 1212 356
p 2 0 382 14 7954 560
b 4 0 396 0 1026 328
b 4 0 396 0 1138 369
p 2 0 392 4 9235 568
b 4 0 396 0 1658 470
b 4 0 396 0 1386 447
p 2 0 395 1 11603 616
b 4 0 396 0 1003 374
b 4 0 396 0 1104 355
p 2 0 390 6 7742 565
b 4 0 396 0 953 366
b 4 0 396 0 1025 357
p 2 0 389 7 7908 563
b 4 0 396 0 943 341
b 4 0 396 0 1099 388
p 2 0 390 6 8609 562
b 4 0 396 0 1638 455
b 4 0 396 0 1267 417
p 2 0 394 2 11102 603
b 4 0 396 0 1010 329
b 4 0 396 0 1109 363
p 2 0 390 6 7857 566
b 4 0 396 0 993 339
b 4 0 396 0 1077 368
p 2 0 388 8 8277 566
b 4 0 396 0 959 322
b 4 0 396 0 1077 346
p 2 0 387 9 9542 557
b 4 0 396 0 1594 461
b 4 0 396 0 1330 446
p 2 0 396 0 11868 617
b 4 0 396 0 1077 329
b 4 0 396 0 1234 408
p 2 0 393 3 8567 577
b 4 0 396 0 1168 384
b 4 0 396 0 1269 435
p 2 0 394 2 8251 565
b 4 0 396 0 1060 374
b 4 0 396 0 1082 379
p 2 0 385 11 9156 557
b 4 0 396 0 1652 466
b 4 0 396 0 1230 416
p 2 0 395 1 11530 617
b 4 0 396 0 994 378
b 4 0 396 0 1026 339
p 2 0 388 8 7286 575
b 4 0 396 0 976 379
b 4 0 396 0 987 362
p 2 0 387 9 7671 562
b 4 0 396 0 802 356
b 4 0 396 0 908 388
p 2 0 394 2 8393 568
b 4 0 396 0 1546 443
b 4 0 396 0 1035 423
p 2 0 396 0 10602 615
b 4 0 396 0 864 346
b 4 0 396 0 955 369
p 2 0 392 4 7356 571
b 4 0 396 0 952 351
b 4 0 396 0 977 359
p 2 0 380 16 7744 559
b 4 0 396 0 861 352
b 4 0 396 0 973 380
p 2 0 385 11 8465 558
b 4 0 396 0 1510 454
b 4 0 396 0 1081 420
p 2 0 395 1 10361 604
b 4 0 396 0 829 355
b 4 0 396 0 869 345
p 2 0 385 11 7095 565
b 4 0 396 0 1004 344
b 4 0 396 0 1022 355
p 2 0 381 15 7607 554
b 4 0 396 0 897 298
b 4 0 396 0 997 360
p 2 0 380 16 8124 559
b 4 0 396 0 1567 470
b 4 0 396 0 1087 437
p 2 0 395 1 10619 612
b 4 0 396 0 844 355
b 4 0 396 0 938 354
p 2 0 391 5 7389 569
b 4 0 396 0 965 328
b 4 0 396 0 1017 355
p 2 0 388 8 8190 570
b 4 0 396 0 971 334
b 4 0 396 0 1036 360
p 2 0 389 7 8775 560
b 4 0 396 0 1710 475
b 4 0 396 0 1305 445
p 2 0 396 0 11228 622
b 4 0 396 0 878 362
b 4 0 396 0 965 382
p 2 0 393 3 7309 568
b 4 0 396 0 1012 376
b 4 0 396 0 1044 396
p 2 0 383 13 7807 558
b 4 0 396 0 920 327
b 4 0 396 0 1035 364
p 2 0 383 13 8780 561
b 4 0 396 0 1689 456
b 4 0 396 0 1320 423
p 2 0 395 1 11131 615
b 4 0 396 0 971 327
b 4 0 396 0 1022 329
p 2 0 393 3 7610 579
b 4 0 396 0 936 371
b 4 0 396 0 908 354
p 2 0 382 14 7898 556
b 4 0 396 0 813 308
b 4 0 396 0 924 367
p 2 0 386 10 8529 558
b 4 0 396 0 1522 478
b 4 0 396 0 1234 436
p 2 0 395 1 11223 612
b 4 0 396 0 963 364
b 4 0 396 0 1031 376
p 2 0 388 8 7982 574
b 4 0 396 0 1050 391
b 4 0 396 0 1067 378
p 2 0 387 9 8328 569
b 4 0 396 0 914 351
b 4 0 396 0 993 383
p 2 0 385 11 9500 561
b 4 0 396 0 1625 401
b 4 0 396 0 1346 439
p 2 0 396 0 11845 623
b 4 0 396 0 1143 343
b 4 0 396 0 1223 340
p 2 0 387 9 8240 573
b 4 0 396 0 1141 346
b 4 0 396 0 1279 369
p 2 0 386 10 8692 571
b 4 0 396 0 957 333
b 4 0 396 0 1016 373
p 2 0 385 11 9013 556
b 4 0 396 0 1585 462
b 4 0 396 0 1239 435
p 2 0 395 1 10832 607
b 4 0 396 0 991 386
b 4 0 396 0 1005 369
p 2 0 392 4 7518 571
b 4 0 396 0 953 334
b 4 0 396 0 1011 366
p 2 0 383 13 8112 566
b 4 0 396 0 867 327
b 4 0 396 0 974 381
p 2 0 382 14 8755 553
b 4 0 396 0 1579 453
b 4 0 396 0 1324 423
p 2 0 396 0 11514 619
b 4 0 396 0 1216 340
b 4 0 396 0 1366 338
p 2 0 384 12 8264 572
b 4 0 396 0 1320 356
b 4 0 396 0 1543 370
p 2 0 382 14 8915 563
b 4 0 396 0 1248 324
b 4 0 396 0 1298 350
p 2 0 379 17 9950 561
p 2 0 395 1 12995 615
i 2 396 0 0 24291 1881
b 4 0 396 0 1660 450
b 4 0 396 0 1949 436
p 2 0 368 28 7477 552
b 4 0 396 0 1532 428
b 4 0 396 0 1509 442
p 2 0 362 34 11080 569
b 4 0 396 0 1103 379
b 4 0 396 0 1044 357
p 2 0 370 26 8689 570
b 4 0 396 0 958 422
b 4 0 396 0 1309 444
p 2 0 395 1 11035 655
b 4 0 396 0 894 322
b 4 0 396 0 825 343
p 2 0 376 20 7245 563
b 4 0 396 0 851 314
b 4 0 396 0 793 343
p 2 0 372 24 6710 561
b 4 0 396 0 838 367
b 4 0 396 0 797 324
p 2 0 360 36 6662 554
b 4 0 396 0 865 421
b 4 0 396 0 1385 445
p 2 0 395 1 9147 619
b 4 0 396 0 752 306
b 4 0 396 0 746 325
p 2 0 374 22 6470 561
b 4 0 396 0 769 313
b 4 0 396 0 752 352
p 2 0 365 31 6140 558
b 4 0 396 0 713 329
b 4 0 396 0 677 298
p 2 0 359 37 5874 544
b 4 0 396 0 767 418
b 4 0 396 0 1307 443
p 2 0 394 2 8608 627
b 4 0 396 0 755 329
b 4 0 396 0 777 353
p 2 0 376 20 6256 568
b 4 0 396 0 850 351
b 4 0 396 0 685 319
p 2 0 371 25 6507 558
b 4 0 396 0 660 306
b 4 0 396 0 669 301
p 2 0 356 40 5976 538
b 4 0 396 0 728 411
b 4 0 396 0 1319 445
p 2 0 390 6 8722 620
b 4 0 396 0 779 341
b 4 0 396 0 737 359
p 2 0 380 16 5818 563
b 4 0 396 0 748 310
b 4 0 396 0 683 340
p 2 0 369 27 5792 550
b 4 0 396 0 700 321
b 4 0 396 0 675 317
p 2 0 363 33 5645 541
b 4 0 396 0 766 412
b 4 0 396 0 1364 450
p 2 0 392 4 8455 618
b 4 0 396 0 723 322
b 4 0 396 0 732 360
p 2 0 375 21 5954 559
b 4 0 396 0 794 335
b 4 0 396 0 731 352
p 2 0 356 40 5848 546
b 4 0 396 0 731 363
b 4 0 396 0 699 314
p 2 0 363 33 5811 544
b 4 0 396 0 808 428
b 4 0 396 0 1276 445
p 2 0 390 6 8330 609
b 4 0 396 0 744 330
b 4 0 396 0 740 362
p 2 0 373 23 5946 563
b 4 0 396 0 756 335
b 4 0 396 0 754 374
p 2 0 359 37 5745 544
b 4 0 396 0 714 325
b 4 0 396 0 717 336
p 2 0 362 34 5777 547
b 4 0 396 0 795 418
b 4 0 396 0 1348 471
p 2 0 394 2 8710 633
b 4 0 396 0 802 312
b 4 0 396 0 822 360
p 2 0 372 24 6386 566
b 4 0 396 0 969 346
b 4 0 396 0 947 376
p 2 0 372 24 6982 563
b 4 0 396 0 891 324
b 4 0 396 0 836 328
p 2 0 365 31 6648 548
b 4 0 396 0 1027 456
b 4 0 396 0 1411 440
p 2 0 394 2 9159 619
b 4 0 396 0 965 348
b 4 0 396 0 907 343
p 2 0 379 17 7136 569
b 4 0 396 0 948 317
b 4 0 396 0 910 358
p 2 0 365 31 7118 555
b 4 0 396 0 964 319
b 4 0 396 0 885 316
p 2 0 359 37 7112 550
b 4 0 396 0 1073 412
b 4 0 396 0 1561 439
p 2 0 394 2 9989 634
b 4 0 396 0 1134 333
b 4 0 396 0 1090 356
p 2 0 363 33 7440 562
b 4 0 396 0 980 325
b 4 0 396 0 923 368
p 2 0 366 30 7339 565
b 4 0 396 0 878 324
b 4 0 396 0 916 340
p 2 0 370 26 6936 546
b 4 0 396 0 1007 423
b 4 0 396 0 1539 440
p 2 0 392 4 9297 614
b 4 0 396 0 1107 370
b 4 0 396 0 1160 374
p 2 0 370 26 7381 572
b 4 0 396 0 1249 342
b 4 0 396 0 1146 360
p 2 0 357 39 7870 566
b 4 0 396 0 1076 337
b 4 0 396 0 1016 348
p 2 0 356 40 7383 555
b 4 0 396 0 1142 430
b 4 0 396 0 1513 446
p 2 0 395 1 9550 632
b 4 0 396 0 1049 340
b 4 0 396 0 924 343
p 2 0 371 25 7199 574
b 4 0 396 0 913 338
b 4 0 396 0 828 364
p 2 0 368 28 6682 558
b 4 0 396 0 909 331
b 4 0 396 0 891 323
p 2 0 364 32 6913 561
b 4 0 396 0 999 425
b 4 0 396 0 1430 447
p 2 0 392 4 9258 624
b 4 0 396 0 1080 352
b 4 0 396 0 963 360
p 2 0 380 16 7183 577
b 4 0 396 0 990 343
b 4 0 396 0 980 358
p 2 0 368 28 7130 562
b 4 0 396 0 863 335
b 4 0 396 0 858 335
p 2 0 363 33 6872 557
b 4 0 396 0 890 418
b 4 0 396 0 1328 451
p 2 0 392 4 9216 630
b 4 0 396 0 881 352
b 4 0 396 0 839 349
p 2 0 381 15 6931 572
b 4 0 396 0 841 357
b 4 0 396 0 761 360
p 2 0 363 33 6575 550
b 4 0 396 0 732 318
b 4 0 396 0 725 346
p 2 0 364 32 6262 549
b 4 0 396 0 893 429
b 4 0 396 0 1375 449
p 2 0 392 4 8954 629
b 4 0 396 0 1039 350
b 4 0 396 0 1008 327
p 2 0 373 23 7406 574
b 4 0 396 0 1028 335
b 4 0 396 0 949 348
p 2 0 357 39 7353 563
b 4 0 396 0 923 309
b 4 0 396 0 985 330
p 2 0 363 33 7193 558
i 2 396 0 0 24017 1908
b 4 0 396 0 1182 444
b 4 0 396 0 1114 492
p 2 0 396 0 15694 674
b 4 0 396 0 885 374
b 4 0 396 0 1001 391
p 2 0 393 3 9368 613
b 4 0 396 0 1202 375
b 4 0 396 0 1426 445
p 2 0 391 5 9902 634
b 4 0 396 0 1550 436
b 4 0 396 0 1594 471
p 2 0 392 4 11691 672
b 4 0 396 0 1773 497
b 4 0 396 0 1587 500
p 2 2 394 0 12932 722
b 4 0 396 0 1144 397
b 4 0 396 0 1245 406
p 2 0 389 7 8933 615
b 4 0 396 0 1425 448
b 4 0 396 0 1651 497
p 2 1 394 1 10105 669
b 4 0 396 0 1556 486
b 4 0 396 0 1445 472
p 2 0 390 6 11257 674
b 4 0 396 0 1586 509
b 4 0 396 0 1088 453
p 2 1 394 1 11651 668
b 4 0 396 0 814 379
b 4 0 396 0 918 380
p 2 0 392 4 8440 610
b 4 0 396 0 923 388
b 4 0 396 0 1021 389
p 2 0 388 8 8951 614
b 4 0 396 0 1013 388
b 4 0 396 0 1127 438
p 2 0 393 3 9962 624
b 4 0 396 0 1688 522
b 4 0 396 0 1267 468
p 2 0 396 0 10991 661
b 4 0 396 0 1043 411
b 4 0 396 0 1261 423
p 2 0 393 3 8322 621
b 4 0 396 0 1514 458
b 4 0 396 0 1653 479
p 2 1 393 2 9172 658
b 4 0 396 0 1664 474
b 4 0 396 0 1587 466
p 2 2 389 5 10633 667
b 4 0 396 0 1861 532
b 4 0 396 0 1606 457
p 2 0 395 1 11701 679
b 4 0 396 0 1762 443
b 4 0 396 0 1858 432
p 2 2 390 4 9512 638
b 4 0 396 0 1841 426
b 4 0 396 0 2023 422
p 2 3 388 5 10312 641
b 4 0 396 0 2096 441
b 4 0 396 0 2007 418
p 2 1 395 0 11608 632
b 4 0 396 0 2143 493
b 4 0 396 0 1831 455
p 2 1 395 0 12746 687
b 4 0 396 0 1176 404
b 4 0 396 0 1093 407
p 2 0 394 2 8990 607
b 4 0 396 0 1415 432
b 4 0 396 0 1657 455
p 2 0 394 2 9408 604
b 4 0 396 0 2446 539
b 4 0 396 0 2596 560
p 2 4 387 5 13087 709
b 4 0 396 0 2263 592
p 2 2 392 2 13590 759
b 4 0 396 0 2103 515
b 4 0 396 0 1699 458
p 2 1 391 4 10687 674
b 4 0 396 0 1618 424
b 4 0 396 0 1483 420
p 2 1 390 5 9517 634
b 4 0 396 0 1362 377
b 4 0 396 0 1146 382
p 2 0 394 2 9329 605
b 4 0 396 0 1114 442
b 4 0 396 0 1175 474
p 2 0 395 1 10559 654
b 4 0 396 0 870 354
b 4 0 396 0 919 382
p 2 0 392 4 8595 617
b 4 0 396 0 880 344
b 4 0 396 0 911 373
p 2 0 395 1 8638 624
b 4 0 396 0 796 335
b 4 0 396 0 885 362
p 2 0 392 4 8712 603
b 4 0 396 0 1115 426
b 4 0 396 0 1376 461
p 2 0 396 0 11322 672
b 4 0 396 0 869 336
b 4 0 396 0 734 339
p 2 0 393 3 8283 618
b 4 0 396 0 693 321
b 4 0 396 0 708 336
p 2 0 393 3 7989 600
b 4 0 396 0 760 334
b 4 0 396 0 595 312
p 2 0 389 7 7752 593
b 4 0 396 0 840 455
b 4 0 396 0 933 439
p 2 0 396 0 9798 648
b 4 0 396 0 806 332
b 4 0 396 0 720 360
p 2 0 390 6 8081 605
b 4 0 396 0 660 319
b 4 0 396 0 693 338
p 2 0 391 5 7867 599
b 4 0 396 0 612 298
b 4 0 396 0 619 340
p 2 0 393 3 7760 590
b 4 0 396 0 672 411
b 4 0 396 0 849 414
p 2 0 396 0 9675 645
b 4 0 396 0 566 307
b 4 0 396 0 474 299
p 2 0 393 3 7312 582
b 4 0 396 0 523 289
b 4 0 396 0 558 314
p 2 0 393 3 6935 583
b 4 0 396 0 996 419
b 4 0 396 0 1204 412
p 2 1 392 3 9311 640
b 4 0 396 0 1861 548
b 4 0 396 0 2080 545
p 2 3 391 2 12882 732
b 4 0 396 0 2318 532
b 4 0 396 0 2375 515
p 2 7 385 4 11300 719
b 4 0 396 0 2595 544
b 4 0 396 0 2597 507
p 2 5 376 15 11491 689
b 4 0 396 0 2590 537
b 4 0 396 0 2632 537
p 2 1 376 19 12721 687
b 4 0 396 0 3124 616
b 4 0 396 0 2771 627
p 2 1 395 0 15302 779
b 4 0 396 0 2439 560
b 4 0 396 0 2384 543
p 2 2 386 8 11533 683
b 4 0 396 0 2598 530
b 4 0 396 0 2593 543
p 2 3 374 19 11941 698
b 4 0 396 0 2390 571
b 4 0 396 0 2159 489
p 2 0 382 14 12481 663
b 4 0 396 0 2219 531
b 4 0 396 0 2003 544
p 2 0 395 1 14504 721
b 4 0 396 0 1832 447
b 4 0 396 0 1873 440
p 2 0 394 2 11206 651
b 4 0 396 0 1895 462
b 4 0 396 0 1948 468
p 2 0 390 6 10797 630
b 4 0 396 0 1977 451
b 4 0 396 0 1916 425
p 2 0 391 5 12581 635
b 4 0 396 0 2368 514
b 4 0 396 0 2225 512
p 2 0 396 0 14427 707
b 4 0 396 0 1991 422
b 4 0 396 0 1962 446
p 2 2 388 6 10774 653
b 4 0 396 0 2053 447
b 4 0 396 0 1979 440
p 2 9 378 9 10471 672
b 4 0 396 0 1821 461
b 4 0 396 0 1968 450
p 2 0 389 7 11896 643
b 4 0 396 0 2039 493
b 4 0 396 0 2079 543
p 2 0 395 1 13757 688
b 4 0 396 0 2218 516
b 4 0 396 0 2214 480
p 2 2 388 6 11673 680
b 4 0 396 0 2545 510
b 4 0 396 0 2719 500
p 2 3 379 14 12173 667
b 4 0 396 0 2778 504
b 4 0 396 0 2998 482
p 2 0 376 20 13421 661
b 4 0 396 0 3224 585
b 4 0 396 0 3015 567
p 2 0 395 1 15586 707
b 4 0 396 0 3013 522
b 4 0 396 0 3177 534
p 2 6 378 12 12648 704
b 4 0 396 0 2672 514
b 4 0 396 0 2647 504
p 2 5 380 11 11669 698
b 4 0 396 0 2387 541
b 4 0 396 0 2186 508
p 2 1 383 12 12159 662
b 4 0 396 0 1749 486
b 4 0 396 0 1823 503
p 2 2 393 1 13441 716
b 4 0 396 0 1252 400
b 4 0 396 0 1264 409
p 2 0 388 8 9899 615
b 4 0 396 0 1202 367
b 4 0 396 0 1225 391
p 2 1 391 4 9516 620
b 4 0 396 0 1172 346
b 4 0 396 0 1111 376
p 2 0 392 4 9903 625
b 4 0 396 0 1091 469
b 4 0 396 0 1155 491
p 2 0 395 1 11195 671
b 4 0 396 0 836 351
b 4 0 396 0 888 380
p 2 0 388 8 8543 611
b 4 0 396 0 1196 366
b 4 0 396 0 1142 397
p 2 0 393 3 9579 632
b 4 0 396 0 1468 403
b 4 0 396 0 1467 419
p 2 0 392 4 10308 642
b 4 0 396 0 1442 466
b 4 0 396 0 1552 467
p 2 1 394 1 11522 667
b 4 0 396 0 969 364
b 4 0 396 0 1084 377
p 2 1 387 8 8868 601
b 4 0 396 0 1150 362
b 4 0 396 0 1148 366
p 2 1 391 4 8748 613
b 4 0 396 0 1018 343
b 4 0 396 0 1033 347
p 2 0 392 4 9287 602
b 4 0 396 0 1458 505
b 4 0 396 0 1425 504
p 2 1 394 1 11704 694
b 4 0 396 0 1277 417
b 4 0 396 0 1190 401
p 2 0 393 3 9523 646
b 4 0 396 0 1054 359
b 4 0 396 0 957 375
p 2 0 393 3 9377 632
p 2 0 384 12 7030 565
i 2 396 0 0 26761 1878
b 4 0 396 0 1423 504
b 4 0 396 0 1633 495
p 2 0 396 0 13659 683
b 4 0 396 0 1083 353
b 4 0 396 0 1212 391
p 2 0 378 18 9540 572
b 4 0 396 0 1173 382
b 4 0 396 0 1320 388
p 2 0 377 19 8542 570
b 4 0 396 0 1653 402
b 4 0 396 0 1775 423
p 2 2 370 24 9143 600
b 4 0 396 0 1972 513
b 4 0 396 0 2108 478
p 2 3 393 0 13883 692
b 4 0 396 0 2031 417
b 4 0 396 0 1748 382
p 2 2 383 11 11538 621
b 4 0 396 0 1684 402
b 4 0 396 0 1776 426
p 2 0 370 26 9465 576
b 4 0 396 0 1708 423
b 4 0 396 0 2216 443
p 2 1 369 26 10849 589
b 4 0 396 0 2164 496
b 4 0 396 0 2243 469
p 2 0 395 1 14742 702
b 4 0 396 0 1541 390
b 4 0 396 0 1435 396
p 2 0 389 7 10550 584
b 4 0 396 0 1432 354
b 4 0 396 0 2011 393
p 2 0 374 22 10071 565
b 4 0 396 0 2353 365
b 4 0 396 0 2233 381
p 2 3 370 23 10601 616
b 4 0 396 0 2116 524
b 4 0 396 0 2022 466
p 2 4 392 0 13751 686
b 4 0 396 0 1624 431
b 4 0 396 0 1489 404
p 2 0 381 15 10250 600
b 4 0 396 0 1346 375
b 4 0 396 0 1611 462
p 2 0 376 20 9106 582
b 4 0 396 0 1072 370
b 4 0 396 0 1042 382
p 2 1 372 23 8294 576
b 4 0 396 0 983 464
b 4 0 396 0 1072 416
p 2 0 396 0 11987 670
b 4 0 396 0 991 346
b 4 0 396 0 1026 372
p 2 0 384 12 8728 572
b 4 0 396 0 787 329
b 4 0 396 0 917 357
p 2 0 384 12 7550 573
b 4 0 396 0 749 331
b 4 0 396 0 754 340
p 2 0 380 16 7125 572
b 4 0 396 0 804 432
b 4 0 396 0 889 412
p 2 0 396 0 11598 672
b 4 0 396 0 606 287
b 4 0 396 0 618 311
p 2 0 380 16 7361 544
b 4 0 396 0 471 271
b 4 0 396 0 573 287
p 2 0 372 24 6275 538
b 4 0 396 0 642 321
b 4 0 396 0 759 366
p 2 0 366 30 6630 547
b 4 0 396 0 729 430
b 4 0 396 0 802 379
p 2 0 393 3 11048 642
b 4 0 396 0 640 311
b 4 0 396 0 639 329
p 2 0 380 16 7423 557
b 4 0 396 0 629 329
b 4 0 396 0 701 350
p 2 0 379 17 6559 559
b 4 0 396 0 561 302
b 4 0 396 0 682 349
p 2 0 371 25 6332 549
b 4 0 396 0 744 440
b 4 0 396 0 877 417
p 2 0 395 1 11234 661
b 4 0 396 0 624 319
b 4 0 396 0 694 355
p 2 0 386 10 7779 565
b 4 0 396 0 552 295
b 4 0 396 0 609 325
p 2 0 371 25 6593 542
b 4 0 396 0 486 271
b 4 0 396 0 562 336
p 2 0 374 22 5970 532
b 4 0 396 0 715 451
b 4 0 396 0 826 411
p 2 0 396 0 11020 652
b 4 0 396 0 529 293
b 4 0 396 0 593 322
p 2 0 376 20 7042 546
b 4 0 396 0 396 246
b 4 0 396 0 525 292
p 2 0 380 16 6151 550
b 4 0 396 0 509 302
b 4 0 396 0 544 313
p 2 0 374 22 6004 547
b 4 0 396 0 662 415
b 4 0 396 0 751 387
p 2 0 396 0 10959 651
b 4 0 396 0 505 285
b 4 0 396 0 460 280
p 2 0 379 17 6716 537
b 4 0 396 0 516 268
b 4 0 396 0 570 289
p 2 0 369 27 5710 529
b 4 0 396 0 708 331
b 4 0 396 0 703 329
p 2 2 358 36 5854 536
b 4 0 396 0 758 441
b 4 0 396 0 851 403
p 2 0 395 1 10888 655
b 4 0 396 0 650 332
b 4 0 396 0 578 314
p 2 0 377 19 7316 553
b 4 0 396 0 563 305
b 4 0 396 0 596 309
p 2 0 370 26 6146 535
b 4 0 396 0 748 312
b 4 0 396 0 816 335
p 2 0 370 26 7234 548
b 4 0 396 0 1084 463
b 4 0 396 0 1264 442
p 2 0 396 0 11697 659
b 4 0 396 0 1011 325
b 4 0 396 0 1082 353
p 2 0 382 14 8751 565
b 4 0 396 0 850 300
b 4 0 396 0 933 342
p 2 0 379 17 7323 545
b 4 0 396 0 652 277
b 4 0 396 0 762 337
p 2 0 366 30 6789 542
b 4 0 396 0 735 439
b 4 0 396 0 842 402
p 2 0 395 1 11184 642
b 4 0 396 0 644 314
b 4 0 396 0 648 356
p 2 0 382 14 7500 550
b 4 0 396 0 726 301
b 4 0 396 0 724 299
p 2 0 359 37 7465 549
b 4 0 396 0 800 312
b 4 0 396 0 865 346
p 2 0 368 28 7505 559
b 4 0 396 0 820 451
b 4 0 396 0 842 400
p 2 0 395 1 11062 644
b 4 0 396 0 677 291
b 4 0 396 0 814 355
p 2 0 369 27 8012 542
b 4 0 396 0 529 276
b 4 0 396 0 541 305
p 2 0 367 29 6031 530
b 4 0 396 0 519 290
b 4 0 396 0 588 299
p 2 0 363 33 5716 531
b 4 0 396 0 748 433
b 4 0 396 0 959 426
p 2 0 395 1 10578 638
b 4 0 396 0 726 319
b 4 0 396 0 718 326
p 2 0 381 15 7684 554
b 4 0 396 0 729 282
b 4 0 396 0 878 321
p 2 0 370 26 7013 557
b 4 0 396 0 577 289
b 4 0 396 0 613 329
p 2 0 360 36 5952 526
b 4 0 396 0 758 425
b 4 0 396 0 730 367
p 2 1 394 1 10737 660
b 4 0 396 0 545 326
b 4 0 396 0 583 312
p 2 0 379 17 7224 552
b 4 0 396 0 570 282
b 4 0 396 0 630 340
p 2 0 370 26 6098 541
b 4 0 396 0 652 308
b 4 0 396 0 725 308
p 2 0 381 15 6504 543
b 4 0 396 0 908 444
b 4 0 396 0 1065 440
p 2 0 395 1 11434 653
b 4 0 396 0 846 358
b 4 0 396 0 859 369
p 2 0 380 16 7661 555
b 4 0 396 0 751 294
b 4 0 396 0 775 324
p 2 1 373 22 7262 569
b 4 0 396 0 660 315
b 4 0 396 0 653 331
p 2 0 369 27 7041 554
b 4 0 396 0 883 446
b 4 0 396 0 1050 443
p 2 0 394 2 11008 657
b 4 0 396 0 877 360
b 4 0 396 0 828 356
p 2 0 378 18 8067 563
b 4 0 396 0 652 313
b 4 0 396 0 789 348
p 2 0 378 18 7148 563
b 4 0 396 0 782 358
b 4 0 396 0 861 363
p 2 0 373 23 7374 560
b 4 0 396 0 1111 481
b 4 0 396 0 1154 441
p 2 0 396 0 11889 658
b 4 0 396 0 972 346
b 4 0 396 0 958 384
p 2 0 386 10 8955 575
b 4 0 396 0 860 343
b 4 0 396 0 969 347
p 2 0 371 25 8027 556
b 4 0 396 0 1092 357
b 4 0 396 0 1206 404
p 2 0 361 35 8188 560
b 4 0 396 0 1168 478
b 4 0 396 0 1570 493
p 2 0 394 2 12918 675
b 4 0 396 0 1268 373
b 4 0 396 0 1422 420
p 2 0 382 14 9543 577
b 4 0 396 0 1084 365
b 4 0 396 0 1139 367
p 2 0 370 26 8115 557
b 4 0 396 0 1228 376
b 4 0 396 0 1313 370
p 2 0 373 23 8373 565
b 4 0 396 0 1342 489
b 4 0 396 0 1511 475
p 2 0 396 0 12504 681
b 4 0 396 0 1176 363
b 4 0 396 0 1344 409
p 2 0 382 14 9517 597
b 4 0 396 0 1009 368
b 4 0 396 0 1239 392
p 2 0 379 17 8573 573
i 2 396 0 0 26651 1898
b 4 0 396 0 1022 373
b 4 0 396 0 877 336
p 2 0 376 20 9788 575
b 4 0 396 0 979 428
b 4 0 396 0 1184 433
p 2 0 396 0 11558 670
b 4 0 396 0 879 332
b 4 0 396 0 693 336
p 2 0 395 1 9333 605
b 4 0 396 0 594 307
b 4 0 396 0 524 296
p 2 0 383 13 7395 578
b 4 0 396 0 733 364
b 4 0 396 0 615 294
p 2 0 386 10 8423 581
b 4 0 396 0 984 413
b 4 0 396 0 1209 458
p 2 0 396 0 10584 654
b 4 0 396 0 756 309
b 4 0 396 0 726 340
p 2 0 389 7 8535 599
b 4 0 396 0 637 289
b 4 0 396 0 722 324
p 2 0 385 11 8482 597
b 4 0 396 0 683 311
b 4 0 396 0 738 329
p 2 0 386 10 9232 591
b 4 0 396 0 840 419
b 4 0 396 0 1007 442
p 2 0 396 0 10886 649
b 4 0 396 0 782 339
b 4 0 396 0 792 356
p 2 0 393 3 8861 603
b 4 0 396 0 691 288
b 4 0 396 0 721 350
p 2 0 385 11 8591 590
b 4 0 396 0 644 320
b 4 0 396 0 558 302
p 2 0 386 10 8663 572
b 4 0 396 0 749 405
b 4 0 396 0 937 453
p 2 0 395 1 10501 649
