# XviD 2pass stat file (core version 1.3.2)
# Please do not modify this file

p 2 0 396 0 14270 628
b 4 0 396 0 1633 348
b 4 0 396 0 1617 348
p 2 0 387 9 10414 572
b 4 0 396 0 1739 346
b 4 0 396 0 1740 376
p 2 0 383 13 11152 559
b 4 0 396 0 1620 342
b 4 0 396 0 1582 349
p 2 0 370 26 10620 550
b 4 0 396 0 1914 446
b 4 0 396 0 2044 458
p 2 0 396 0 13921 624
b 4 0 396 0 1483 378
b 4 0 396 0 1301 348
p 2 0 385 11 9875 569
b 4 0 396 0 1507 331
b 4 0 396 0 1490 348
p 2 0 378 18 10194 564
b 4 0 396 0 1605 361
b 4 0 396 0 1435 346
p 2 0 375 21 10014 549
b 4 0 396 0 1813 450
b 4 0 396 0 2024 441
p 2 0 396 0 13616 610
b 4 0 396 0 1706 320
b 4 0 396 0 1731 339
p 2 0 388 8 10398 568
b 4 0 396 0 1913 343
b 4 0 396 0 1958 351
p 2 1 378 17 10737 558
b 4 0 396 0 1986 343
b 4 0 396 0 1951 351
p 2 0 371 25 10940 546
b 4 0 396 0 2204 430
b 4 0 396 0 2309 475
p 2 0 396 0 14406 635
b 4 0 396 0 1865 354
b 4 0 396 0 1828 371
p 2 0 384 12 10490 566
i 2 396 0 0 31652 1978
b 4 0 396 0 1787 359
b 4 0 396 0 2075 364
p 2 0 371 25 9992 551
b 4 0 396 0 1623 341
b 4 0 396 0 1828 365
p 2 0 377 19 12056 559
b 4 0 396 0 2092 440
b 4 0 396 0 1949 436
p 2 0 396 0 13954 629
b 4 0 396 0 1559 346
b 4 0 396 0 1724 377
p 2 0 385 11 9719 559
b 4 0 396 0 1466 356
b 4 0 396 0 1691 368
p 2 0 386 10 9715 560
b 4 0 396 0 1372 352
b 4 0 396 0 1537 360
p 2 0 383 13 11162 558
b 4 0 396 0 2011 438
b 4 0 396 0 1781 414
p 2 0 395 1 13718 634
b 4 0 396 0 1490 361
b 4 0 396 0 1719 357
p 2 0 380 16 9271 562
b 4 0 396 0 1727 360
b 4 0 396 0 2063 396
p 2 0 379 17 9988 555
b 4 0 396 0 1660 397
b 4 0 396 0 1765 381
p 2 0 392 4 11212 570
b 4 0 396 0 1841 431
b 4 0 396 0 1686 431
p 2 0 396 0 13100 627
b 4 0 396 0 1347 356
b 4 0 396 0 1552 369
p 2 0 385 11 9044 565
b 4 0 396 0 1449 358
b 4 0 396 0 1666 386
p 2 0 385 11 8872 562
b 4 0 396 0 1446 373
b 4 0 396 0 1526 376
p 2 0 385 11 10742 562
b 4 0 396 0 1894 451
b 4 0 396 0 1767 447
p 2 0 394 2 13100 623
b 4 0 396 0 1423 371
b 4 0 396 0 1591 373
p 2 0 384 12 8970 568
b 4 0 396 0 1199 368
b 4 0 396 0 1495 389
p 2 0 380 16 8690 553
b 4 0 396 0 1184 352
b 4 0 396 0 1236 390
p 2 0 381 15 10403 565
b 4 0 396 0 1875 447
b 4 0 396 0 1724 425
p 2 0 396 0 13028 616
b 4 0 396 0 1699 384
b 4 0 396 0 1838 371
p 2 0 386 10 9410 559
b 4 0 396 0 1662 352
b 4 0 396 0 1903 355
p 2 0 372 24 9656 556
b 4 0 396 0 1563 369
b 4 0 396 0 1759 380
p 2 0 387 9 11496 574
b 4 0 396 0 2109 447
b 4 0 396 0 1867 431
p 2 0 394 2 13649 622
b 4 0 396 0 1616 361
b 4 0 396 0 1757 350
p 2 0 378 18 9600 560
b 4 0 396 0 1611 367
b 4 0 396 0 1825 386
p 2 0 375 21 9509 551
b 4 0 396 0 1722 366
b 4 0 396 0 1824 371
p 2 0 379 17 11162 559
b 4 0 396 0 2215 423
b 4 0 396 0 2066 428
